,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,District,Area,Shopid,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins,popular,MetroStation
2002,12,0,3,0,0,0,31.2359,121.44052,11,17,58232714,0,0,0,0,0,0,0,0,0,2,0,0,0
2003,12,0,3,0,0,0,31.30202,121.51511,16,7,58266060,0,0,0,0,0,0,0,0,0,4,0,0,0
2004,0,0,3,0,0,0,31.31457,121.38204,2,17,58292657,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,10,0,3,0,0,0,31.20789,121.49803,15,17,58293679,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,13,0,1,0,0,0,0,0,6,2,58301827,0,0,0,0,0,0,0,0,0,1,0,0,0
2007,15,0,3,0,0,0,31.27136,121.41464,2,17,58308500,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,11,0,3,0,0,0,31.22246,121.44468,11,3,58353607,0,0,0,0,0,0,0,0,0,3,0,0,0
2009,12,0,1,0,0,0,31.02547,121.59606,6,17,58357460,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,12,0,3,0,0,0,31.30082,121.5149,16,7,58366210,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,22,0,1,0,0,0,31.04069,121.74516,6,17,58407061,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,22,0,3,0,0,0,30.90875,121.45764,13,17,58407188,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,22,0,1,0,0,0,31.03468,121.59634,6,17,58407331,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,22,0,3,0,0,0,31.0104,121.25411,17,17,58407687,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,12,0,1,0,0,0,0,0,6,17,58422291,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,12,0,3,0,0,0,31.23107,121.46609,11,16,58440503,0,0,0,0,0,0,0,0,0,1,0,0,0
2017,12,0,3,0,0,0,0,0,15,17,58441197,0,0,0,0,0,0,0,0,0,2,0,0,0
2018,11,0,3,0,0,0,31.22273,121.44748,11,3,58458898,0,0,0,0,0,0,0,0,0,8,0,0,0
2019,23,0,1,0,0,0,31.03722,121.5958,6,17,58470213,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,10,0,1,0,0,0,0,0,10,12,58477391,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,12,0,3,0,0,0,31.26437,121.53799,16,17,58482675,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,10,0,1,0,0,0,31.21746,121.46419,10,12,58496720,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,10,0,3,0,0,0,30.94945,121.50771,13,17,58503647,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,22,0,3,0,0,0,0,0,17,17,58503658,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,23,0,2,0,0,0,0,0,8,17,58503685,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,10,0,3,0,0,0,31.23907,121.47781,15,17,58520226,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,10,0,1,0,0,0,0,0,10,17,58536693,0,0,0,0,0,0,0,0,0,0,0,0,0
2028,12,1,1,0,0,0,31.13184,121.40059,12,17,58538839,0,0,0,0,0,0,0,0,0,5,0,0,0
2029,10,0,1,0,0,0,31.20154,121.4714,10,17,58558749,0,0,0,0,0,0,0,0,0,0,0,0,0
2030,1,0,3,0,0,0,31.24049,121.3236,1,17,58570990,0,0,0,0,0,0,0,0,0,0,0,0,0
2031,16,0,3,0,0,0,31.21983,121.47416,10,17,58572185,0,0,0,0,0,0,0,0,0,0,0,0,0
2033,23,0,2,0,0,0,31.14354,121.0943,8,17,58626064,0,0,0,0,0,0,0,0,0,0,0,0,0
2034,0,0,3,0,0,0,31.26919,121.38158,4,17,58697853,0,0,0,0,0,0,0,0,0,0,0,0,0
2035,16,0,2,0,0,0,31.27054,121.4787,9,17,58702554,0,0,0,0,0,0,0,0,0,0,0,0,0
2036,13,0,3,0,0,0,31.24304,121.47216,3,17,58720082,0,0,0,0,0,0,0,0,0,0,0,0,0
2037,14,0,3,0,0,0,31.17888,121.3877,12,17,58732102,0,0,0,0,0,0,0,0,0,0,0,0,0
2038,16,0,2,0,0,0,31.25278,121.48459,9,17,58734514,0,0,0,0,0,0,0,0,0,0,0,0,0
2039,16,0,2,0,0,0,31.25278,121.48459,9,17,58734515,0,0,0,0,0,0,0,0,0,0,0,0,0
2040,12,0,3,7,7,7,31.30057,121.51839,16,7,58737593,0,0,0,0,0,0,0,0,0,3,0,0,0
2041,12,0,1,0,0,0,31.1222,121.58135,6,17,58779177,0,0,0,0,0,0,0,0,0,0,0,0,0
2042,14,0,2,0,0,0,31.29085,121.48227,9,17,58791945,0,0,0,0,0,0,0,0,0,0,0,0,0
2044,12,0,1,0,0,0,31.15569,121.50625,6,17,58810619,0,0,0,0,0,0,0,0,0,0,0,0,0
2045,23,0,3,0,0,0,31.26605,121.40238,4,17,58881536,0,0,0,0,0,0,0,0,0,0,0,0,0
2046,12,0,3,0,0,0,31.2706,121.41112,2,17,58886312,0,0,0,0,0,0,0,0,0,2,0,0,0
2047,10,0,3,0,0,0,31.26159,121.46198,3,17,58892125,0,0,0,0,0,0,0,0,0,0,0,0,0
2048,12,0,3,0,0,0,31.00948,121.22409,17,17,58892222,0,0,0,0,0,0,0,0,0,0,0,0,0
2049,13,0,1,0,0,0,31.18765,121.57006,6,17,58902264,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,10,0,3,0,0,0,0,0,12,17,58929942,0,0,0,0,0,0,0,0,0,0,0,0,0
