,Opentime,Parkinfo,cost_level,Product_evaluation,Environment_evaluation,Service_evaluation,latitude,longitude,Shopid,District,Area,total_shop,clothes_and_shoes,food,entertainment,makeup,shopping,digital,other,group_purchase,comment,checkins
486,0,0,0,0,0,0,40.0323,116.41386,21862601,4,17,0,0,0,0,0,0,0,0,0,0,0
487,12,0,0,0,0,0,40.0323,116.41386,21862602,4,17,0,0,0,0,0,0,0,0,0,0,0
488,15,0,2,0,0,0,39.89015,116.41889,21862743,2,17,0,0,0,0,0,0,0,0,0,0,0
489,15,0,0,0,0,0,39.90636,116.44171,21866624,4,17,0,0,0,0,0,0,0,0,0,0,0
490,24,0,3,0,0,0,39.89711,116.3757,21866956,3,17,0,0,0,0,0,0,0,0,0,0,0
491,16,0,0,0,0,0,40.03062,116.34622,21868881,1,17,0,0,0,0,0,0,0,0,0,0,0
492,9,0,0,0,0,0,40.04908,116.32575,21883223,1,17,0,0,0,0,0,0,0,0,0,0,0
493,8,0,2,7.9,0,7.9,39.91465,116.41192,21891724,2,17,0,0,0,0,0,0,0,0,0,6,0
495,12,0,3,7,6.9,7,0,0,21922310,9,17,0,0,0,0,0,0,0,0,0,2,0
496,11,0,0,0,0,0,0,0,21924005,4,17,0,0,0,0,0,0,0,0,0,0,0
497,12,0,3,0,0,0,0,0,21930648,9,17,0,0,0,0,0,0,0,0,0,0,0
498,14,0,0,0,0,0,39.97288,116.29488,21933381,1,17,0,0,0,0,0,0,0,0,0,0,0
499,9,0,0,0,0,0,0,0,21939478,4,16,0,0,0,0,0,0,0,0,0,0,0
500,13,0,3,0,8,0,39.80128,116.34007,21944505,7,17,0,0,0,0,0,0,0,0,0,9,0
501,6,0,0,0,0,0,39.89811,116.31226,21951549,1,17,0,0,0,0,0,0,0,0,0,3,0
502,13,0,3,0,0,0,39.78817,116.32842,21973522,7,17,0,0,0,0,0,0,0,0,0,1,0
503,12,0,3,0,0,0,40.12597,116.65053,22005711,8,17,0,0,0,0,0,0,0,0,0,0,0
504,15,0,2,0,0,0,0,0,22011987,2,3,0,0,0,0,0,0,0,0,0,1,0
505,0,0,1,0,0,0,39.91091,116.45664,22012379,4,2,0,0,0,0,0,0,0,0,0,0,0
506,13,0,0,7,7,7,39.97159,116.37854,22012740,1,17,0,0,0,0,0,0,0,0,0,1,0
507,10,0,0,0,0,0,39.97037,116.32122,22017348,1,17,0,0,0,0,0,0,0,0,0,0,0
508,13,0,3,0,0,0,0,0,22039998,7,17,0,0,0,0,0,0,0,0,0,0,0
509,16,0,0,6.9,0,0,39.96012,116.44041,22049739,4,17,0,0,0,0,0,0,0,0,0,6,0
510,22,0,3,0,0,0,40.06106,116.41093,22050116,10,17,0,0,0,0,0,0,0,0,0,0,0
511,12,0,3,0,0,0,0,0,22057629,9,17,0,0,0,0,0,0,0,0,0,2,0
512,8,0,0,0,0,0,39.86876,116.29484,22066875,5,17,0,0,0,0,0,0,0,0,0,0,0
513,13,0,2,0,7,7,0,0,22076481,16,17,0,0,0,0,0,0,0,0,0,3,0
514,12,0,2,0,0,0,39.97102,116.43388,22080818,4,17,0,0,0,0,0,0,0,0,0,5,0
515,15,0,0,0,0,0,0,0,22081632,4,17,0,0,0,0,0,0,0,0,0,0,0
517,6,0,0,0,0,0,39.91402,116.27933,22132446,1,17,0,0,0,0,0,0,0,0,0,0,0
518,15,0,2,0,0,0,39.90467,116.40819,22162261,2,3,0,0,0,0,0,0,0,0,0,0,0
519,11,1,1,8.9,9,0,39.97799,116.46147,22190952,4,10,0,0,0,0,0,0,0,0,0,25,0
520,9,0,1,0,0,0,39.98998,116.43263,22200451,4,17,0,0,0,0,0,0,0,0,0,1,0
521,13,0,3,0,0,0,39.78839,116.32572,22218568,7,17,0,0,0,0,0,0,0,0,0,2,0
522,16,0,2,0,0,0,0,0,22228651,2,3,0,0,0,0,0,0,0,0,0,0,0
523,11,1,2,0,0,0,39.86829,116.37573,22229694,5,17,56,5,23,3,0,3,2,20,6,51,18
524,6,0,0,0,0,0,39.95001,116.47667,22234667,4,17,0,0,0,0,0,0,0,0,0,0,0
525,13,0,0,0,0,0,39.96367,116.30938,22237935,1,17,0,0,0,0,0,0,0,0,0,0,0
526,10,0,0,0,0,0,40.0039,116.41207,22242879,4,5,0,0,0,0,0,0,0,0,0,0,0
527,11,0,3,0,0,0,40.0039,116.41207,22242885,4,5,0,0,0,0,0,0,0,0,0,0,0
528,8,0,1,0,0,0,0,0,22245614,4,17,0,0,0,0,0,0,0,0,0,4,0
529,13,0,0,0,0,0,0,0,22250010,1,17,0,0,0,0,0,0,0,0,0,0,0
530,12,0,2,6.9,6.9,0,40.31429,116.63027,22250445,11,17,85,47,7,1,0,1,1,28,2,13,0
531,12,0,2,0,0,0,40.13915,117.11139,22264691,11,17,0,0,0,0,0,0,0,0,0,1,0
532,12,1,3,0,8,8,39.90749,116.47603,22265781,4,11,0,0,0,0,0,0,0,0,0,27,0
533,0,0,3,0,0,0,39.75354,116.21074,22266603,15,17,0,0,0,0,0,0,0,0,0,10,0
534,12,0,3,0,7.9,0,39.92172,116.43944,22267277,4,6,0,0,0,0,0,0,0,0,0,33,0
535,15,0,2,0,7,7,0,0,22267535,5,17,0,0,0,0,0,0,0,0,0,4,0
536,10,0,1,0,0,0,0,0,22269448,4,17,0,0,0,0,0,0,0,0,0,1,0
537,11,0,2,0,0,0,39.92723,116.59838,22270046,4,17,0,0,0,0,0,0,0,0,0,8,0
538,11,0,1,0,0,0,39.91182,116.30335,22270476,1,17,0,0,0,0,0,0,0,0,0,23,0
